Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-05,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-05,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,27802.0,31.0,2
2024-06-05,2,2024-06-03,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-05,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,10000.0,1.0,2
2024-06-05,1,2024-06-03,,,,8.0,1,1,1,0,0,0,0.0,0.0,0.0,6200.0,2.0,2
2024-06-05,2,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-05,1,2024-06-03,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,8760.0,3.0,2
2024-06-05,2,2024-06-03,,,,30.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-05,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,5100.0,1.0,2
2024-06-05,3,2024-06-03,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,2,2024-06-05,Female,30s,China,2.0,0,0,0,1,1,1,2.0,7566.0,1.0,7566.0,2.0,1
2024-06-06,3,2024-06-05,Female,30s,China,3.0,0,0,0,1,1,1,0.0,0.0,0.0,125000.0,16.0,1
2024-06-06,1,2024-06-03,Male,30s,China,5.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,3
2024-06-06,1,2024-06-04,Male,30s,Other,3.0,0,0,0,0,1,0,0.0,0.0,0.0,33100.0,5.0,2
2024-06-06,3,2024-06-02,Male,30s,Other,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-06,2,2024-06-04,Female,30s,China,5.0,0,0,0,1,1,1,1.0,5200.0,1.0,15780.0,7.0,2
2024-06-06,2,2024-05-31,Female,30s,China,15.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,6
2024-06-06,3,2024-06-04,Female,60s,Japan,1.0,0,0,0,1,0,0,0.0,0.0,0.0,45700.0,11.0,2
2024-06-06,2,2024-06-04,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,17680.0,4.0,2
2024-06-06,1,2024-06-05,Male,40s,China,2.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1
2024-06-06,3,2024-06-04,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,40200.0,8.0,2
2024-06-06,1,2024-05-26,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,16840.0,4.0,11
2024-06-06,2,2024-06-01,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,44700.0,12.0,5
2024-06-06,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-06,1,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,4900.0,7.0,2
2024-06-06,2,2024-06-04,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,2,2024-05-30,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7
2024-06-06,1,2024-06-04,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,3,2024-05-29,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,36297.0,15.0,8
2024-06-06,3,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,7110.0,9.0,2
2024-06-06,1,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,1,2024-05-31,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-06,1,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-06,2,2024-05-31,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,28200.0,24.0,6
2024-06-06,2,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-06,1,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-06,2,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,6876.0,7.0,3
2024-06-06,2,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,3,2024-06-03,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-06,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,41600.0,6.0,3
2024-06-06,2,2024-06-03,,,,10.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-06,3,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-06,1,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,45400.0,15.0,3
2024-06-06,1,2024-06-03,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,3
2024-06-06,2,2024-06-05,Male,30s,China,3.0,0,0,0,0,1,1,0.0,0.0,0.0,17627.0,9.0,1
2024-06-07,1,2024-06-05,Female,40s,Japan,1.0,0,0,0,1,0,0,0.0,0.0,0.0,27000.0,4.0,2
2024-06-07,2,2024-06-05,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,10350.0,9.0,2
2024-06-07,1,2024-05-31,Male,30s,Other,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7
2024-06-07,1,2024-06-04,Female,20s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,160470.0,17.0,3
2024-06-07,1,2024-06-04,Male,30s,Other,3.0,0,0,0,0,1,0,0.0,0.0,0.0,41680.0,9.0,3
2024-06-07,2,2024-06-05,Male,30s,Other,50.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-07,2,2024-06-04,Male,30s,Other,2.0,0,0,0,0,1,0,0.0,0.0,0.0,13980.0,6.0,3
2024-06-07,3,2024-05-26,Female,40s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,15877.0,11.0,12
2024-06-07,2,2024-06-05,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,28700.0,4.0,2
2024-06-07,1,2024-06-03,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,2998.0,3.0,4
2024-06-07,2,2024-06-01,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,31960.0,17.0,6
2024-06-07,3,2024-06-04,Female,30s,Taiwan,1.0,0,0,0,1,1,0,0.0,0.0,0.0,23000.0,5.0,3
2024-06-07,3,2024-06-04,Male,40s,China,5.0,0,0,0,0,0,1,0.0,0.0,0.0,164770.0,84.0,3
2024-06-07,3,2024-06-04,Female,30s,China,3.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,3
2024-06-07,2,2024-06-03,Female,40s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,29835.0,12.0,4
2024-06-07,1,2024-06-05,Female,30s,China,5.0,0,0,0,1,1,1,0.0,0.0,0.0,336300.0,90.0,2
2024-06-07,1,2024-06-06,Female,30s,China,4.0,0,0,0,1,1,1,0.0,0.0,0.0,84470.0,36.0,1
2024-06-07,3,2024-06-03,Male,40s,Taiwan,2.0,0,0,0,0,0,0,0.0,0.0,0.0,1900.0,2.0,4
2024-06-07,2,2024-06-05,Female,40s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,24740.0,8.0,2
2024-06-07,1,2024-06-05,Male,20s,Japan,1.0,0,0,0,0,0,0,0.0,0.0,0.0,14144.0,19.0,2
2024-06-07,2,2024-06-05,Female,20s,China,3.0,0,0,0,1,0,1,0.0,0.0,0.0,13600.0,3.0,2
2024-06-07,1,2024-06-06,Female,30s,China,5.0,0,0,0,1,1,1,0.0,0.0,0.0,199180.0,43.0,1
2024-06-07,3,2024-06-03,Female,30s,China,16.0,0,0,0,1,1,1,4.0,16400.0,1.0,83960.0,7.0,4
2024-06-07,2,2024-05-31,,,,10.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7
2024-06-07,1,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,37220.0,14.0,2
2024-06-07,1,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,27700.0,6.0,2
2024-06-07,1,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,95838.0,35.0,2
2024-06-07,2,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,132600.0,30.0,3
2024-06-07,1,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,28640.0,17.0,4
2024-06-07,3,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,135340.0,24.0,2
2024-06-07,2,2024-06-05,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-07,2,2024-06-05,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,67200.0,17.0,2
2024-06-07,3,2024-06-03,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,4
2024-06-07,2,2024-06-03,Female,30s,Japan,1.0,0,0,0,1,1,0,0.0,0.0,0.0,2900.0,4.0,4
2024-06-07,1,2024-05-30,Female,30s,Japan,2.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,8
2024-06-07,1,2024-06-02,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,12960.0,11.0,5
2024-06-07,1,2024-06-03,Female,30s,China,6.0,0,0,0,1,1,1,0.0,0.0,0.0,12400.0,2.0,4
2024-06-07,2,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,28300.0,24.0,2
2024-06-07,2,2024-05-27,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,11
2024-06-07,1,2024-05-29,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,2400.0,2.0,9
2024-06-07,2,2024-05-29,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,7800.0,2.0,9
2024-06-07,3,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,16394.0,11.0,3
2024-06-07,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,17089.0,20.0,5
2024-06-07,3,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,14588.0,5.0,4
2024-06-07,3,2024-06-05,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-07,1,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,8200.0,2.0,1
2024-06-07,2,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,26775.0,20.0,1
2024-06-07,2,2024-06-05,,,,6.0,1,1,1,0,0,0,0.0,0.0,0.0,25100.0,3.0,2
2024-06-07,2,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-07,1,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,21700.0,1.0,2
2024-06-07,3,2024-06-05,,,,12.0,1,1,1,0,0,0,0.0,0.0,0.0,1600.0,2.0,2
2024-06-07,2,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,7637.0,9.0,1
2024-06-07,3,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,19460.0,24.0,1
2024-06-07,2,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-07,2,2024-06-06,,,,6.0,1,1,1,0,0,0,0.0,0.0,0.0,31100.0,4.0,1
2024-06-07,2,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-07,2,2024-06-04,Female,30s,China,10.0,0,0,0,1,1,1,0.0,0.0,0.0,18344.0,5.0,3
2024-06-08,3,2024-05-31,Female,40s,Hong Kong,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,8
2024-06-08,1,2024-06-04,Male,30s,China,1.0,0,0,0,0,1,1,0.0,0.0,0.0,14250.0,6.0,4
2024-06-08,3,2024-06-05,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3
