Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-04,2,2024-05-23,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,12
2024-06-04,3,2024-05-23,,,,2,1,1,1,0,0,0,0.0,0.0,0.0,15200.0,4.0,12
2024-06-04,1,2024-05-26,,,,4,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,9
2024-06-04,3,2024-05-27,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8
2024-06-04,2,2024-05-31,,,,3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-04,1,2024-05-28,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7
2024-06-04,1,2024-06-03,,,,30,1,1,1,0,0,0,0.0,0.0,0.0,11857.0,2.0,1
2024-06-04,1,2024-05-30,,,,4,1,1,1,0,0,0,0.0,0.0,0.0,3450.0,2.0,5
2024-06-04,1,2024-05-29,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,56370.0,3.0,6
2024-06-04,3,2024-05-31,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-04,2,2024-05-30,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5
2024-06-04,3,2024-06-02,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-06-02,,,,2,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,3,2024-05-31,,,,3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-04,3,2024-06-02,,,,5,1,1,1,0,0,0,0.0,0.0,0.0,4980.0,1.0,2
2024-06-04,2,2024-05-31,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-04,1,2024-06-02,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,88719.0,18.0,2
2024-06-04,1,2024-06-01,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,59640.0,14.0,3
2024-06-04,2,2024-06-02,,,,4,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-06-01,,,,8,1,1,1,0,0,0,0.0,0.0,0.0,20300.0,9.0,3
2024-06-04,1,2024-06-01,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-04,3,2024-06-03,,,,2,1,1,1,0,0,0,1.0,3895.0,1.0,3895.0,1.0,1
2024-06-04,2,2024-06-01,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,800.0,1.0,3
2024-06-04,1,2024-06-01,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,43198.0,26.0,3
2024-06-04,1,2024-06-01,,,,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-04,2,2024-06-02,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-06-02,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,4320.0,5.0,2
2024-06-04,3,2024-06-03,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-04,1,2024-06-03,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-04,2,2024-06-03,,,,3,1,1,1,0,0,0,0.0,0.0,0.0,4100.0,1.0,1
2024-06-04,1,2024-06-02,,,,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,3,2024-06-02,,,,1,1,1,1,0,0,0,0.0,0.0,0.0,9400.0,3.0,2
2024-06-04,1,2024-06-03,,,,5,1,1,1,0,0,0,0.0,0.0,0.0,125090.0,33.0,1
2024-06-04,2,2024-05-29,Female,30s,China,6,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,6
2024-06-04,2,2024-06-01,Male,20s,China,3,0,0,0,0,0,1,0.0,0.0,0.0,167720.0,22.0,3
2024-06-05,1,2024-06-03,Female,30s,China,1,0,0,0,1,1,1,0.0,0.0,0.0,90430.0,30.0,2
2024-06-05,3,2024-06-02,Female,20s,China,1,0,0,0,1,0,1,0.0,0.0,0.0,21900.0,3.0,3
2024-06-05,1,2024-06-04,Female,30s,China,2,0,0,0,1,1,1,0.0,0.0,0.0,55150.0,25.0,1
2024-06-05,3,2024-06-03,Female,30s,China,20,0,0,0,1,1,1,0.0,0.0,0.0,232513.0,55.0,2
2024-06-05,1,2024-06-03,Female,30s,Japan,1,0,0,0,1,1,0,0.0,0.0,0.0,3600.0,1.0,2
2024-06-05,1,2024-06-03,Female,30s,China,6,0,0,0,1,1,1,0.0,0.0,0.0,64750.0,18.0,2
2024-06-05,2,2024-06-02,Male,30s,Other,1,0,0,0,0,1,0,2.0,7790.0,1.0,32679.0,23.0,3
2024-06-05,1,2024-05-29,Male,30s,Other,1,0,0,0,0,1,0,0.0,0.0,0.0,78320.0,14.0,7
2024-06-05,1,2024-05-30,Male,30s,Other,1,0,0,0,0,1,0,0.0,0.0,0.0,29280.0,17.0,6
2024-06-05,1,2024-06-03,Male,30s,Other,1,0,0,0,0,1,0,0.0,0.0,0.0,56400.0,12.0,2
2024-06-05,3,2024-06-03,Male,30s,Other,10,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-05,2,2024-06-02,Male,30s,Other,3,0,0,0,0,1,0,0.0,0.0,0.0,26200.0,6.0,3
2024-06-05,3,2024-06-04,Male,30s,Other,2,0,0,0,0,1,0,0.0,0.0,0.0,131975.0,31.0,1
2024-06-05,3,2024-06-02,Female,40s,China,1,0,0,0,1,0,1,0.0,0.0,0.0,8000.0,2.0,3
2024-06-05,3,2024-06-03,Male,30s,Hong Kong,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-05,3,2024-06-02,Male,30s,China,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,3
2024-06-05,2,2024-06-02,Female,30s,China,5,0,0,0,1,1,1,0.0,0.0,0.0,30000.0,5.0,3
